Quant Comparison Group	notes	Title	First Author	Last Author	PRIDE ID	Zenodo	Phagosome Isolation Method	cells	Comparison groups	phagosome cargo	harvest timepoint (min)	reference FASTA	reference contam	Quantitation type	SILAC light labels	SILAC medium labels	SILAC heavy labels	Calculate iBAQ	Fixed PTMs	Variable PTMs	MS/MS analyzer	Acquisition mode	Gradient duration (min)	"""Match between runs"" (min)"	Reprocessed	raw files	num raw files	approx GB	Species included in search	Cells	Cell type notes	Cellular Input	Phagosome ID	Phagosome Cargo	Multiplicity of Infection	Phagosome Timepoint (hrs)	Mass Spectrometry Sample Preparation	Quantitation		Search Software	Fixed PTMs	Variable PTMs	MassIVE ID	Annotation	Included in Phagosome-DB?	DOI	PMCID	Journal	Year
Bilkei-Gorzo2022_batch1_BMDM-WT-vs-RNF115KO		The E3 ubiquitin ligase RNF115 regulates phagosome maturation and host response to bacterial infection	Bilkei-Gorzo	Trost	PXD026843	n/a	Buoyant fraction	BMDM	"WT, RNF115KO"	"polystyrene bead (0.8 um, carboxylated)"	30	mouse	default	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Fusion Tribrid	DDA	200				18	27																					2022
Bilkei-Gorzo2022_batch2-RAW-rest-vs-IFNy-global	**may eventually include the glyglyIP that they did to compare resting vs IFNy ubiquitilation	The E3 ubiquitin ligase RNF115 regulates phagosome maturation and host response to bacterial infection	Bilkei-Gorzo	Trost	PXD026843	n/a	Buoyant fraction	RAW	"Resting, IFNy"	"polystyrene bead (0.8 um, carboxylated)"	30	mouse	default	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Fusion Tribrid	DDA	180				18	27																					2022
Guo2019_batch1_rest(L)-vs-il4-lpsifng-il4reprogramlpsifng(H)		Triggering MSR1 promotes JNK_mediated inflammation in IL_4_activated macrophages	Guo	Trost	PXD004520	n/a	Buoyant fraction	BMDM	"Resting, IL4, LPS+IFNy, IL4->LPS+IFNy"	"polystyrene bead (1 um, carboxylated)"	30	mouse	default	mTRAQ_2plex	mTRAQ-Lys0;mTRAQ-Nter0	n/a	mTRAQ-Lys8;mTRAQ-Nter8	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	LTQ Orbitrap Velos	DDA	360				19	47.5																					2016
Guo2019_batch2_il4(L)-vs-il13-il10(H)		Triggering MSR1 promotes JNK_mediated inflammation in IL_4_activated macrophages	Guo	Trost	PXD004520	n/a	Buoyant fraction	BMDM	"IL4, IL13, IL10"	"polystyrene bead (1 um, carboxylated)"	30	mouse	default	mTRAQ_2plex	mTRAQ-Lys0;mTRAQ-Nter0	n/a	mTRAQ-Lys8;mTRAQ-Nter8	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	LTQ Orbitrap Velos	DDA	360																										
Guo2015_batch1_BMDM-vs-RAW-resting	**may eventually pair with their BMDM-vs-RAW-global to identify proteins which are uniquely high	High-resolution quantitative proteome analysis reveals substantial differences between phagosomes of RAW 264.7 and bone marrow derived macrophages	Guo	Trost	PXD001293	n/a	Buoyant fraction	"BMDM, RAW"	"BMDM, RAW"	"polystyrene bead (0.8 um, carboxylated)"	30	mouse	default	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Fusion Tribrid	DDA	360	"alignment = 20, match = 0.7"			6	15																		10.1002/pmic.201400431	25504905	Proteomics	2015
Dill2015_batch1_pool(L)-vs-ligandtimepoint(H)		Quantitative proteome analysis of temporally resolved phagosomes following uptake via key phagocytic receptors	Dill	Trost	PXD000772	n/a	Buoyant fraction	BMDM	"AvidinBead_30, AvidinBead_60, AvidinBead_180, IgGBead_30, IgGBead_60, IgGBead_180, LPSBead_30, LPSBead_60, LPSBead_180, iC3bBead_30, iC3bBead_60, iC3bBead_180, MannanBead_30, MannanBead_60, MannanBead_180, PhosphatidylserineBead_30, PhosphatidylserineBead_60, PhosphatidylserineBead_180, CalreticulinBead_30, CalreticulinBead_60, CalreticulinBead_180"	"polystyrene bead (0.8 um, carboxylated)"	"30, 60, 180"	mouse	default	mTRAQ_2plex	mTRAQ-Lys0;mTRAQ-Nter0	n/a	mTRAQ-Lys8;mTRAQ-Nter8	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Velos Pro	DDA	360	15			91	227.5																		10.1074/mcp.M114.044594	25755298	Mol Cell Proteomics	2015
Breyer2021_batch1_WT-Tpl2ko-Tpl2ki	**may also include phosphoproteome from paired experiment	TPL-2 kinase induces phagosome acidification to promote macrophage killing of bacteria	Breyer	Trost	PXD020401	n/a	Buoyant fraction	BMDM	"WT, Tpl2KO, Tpl2KI"	"polystyrene bead (0.93 um, carboxylated)"	30	mouse	default	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap QE HF	DDA	165				12	1.5																		10.15252/embj.2020106188	PMC8126920 	EMBO J	2021
Pauwels2019_batch1		Spatiotemporal changes of the phagosomal proteome in dendritic cells in response to LPS stimulation	Pauwels	Hoffman	PXD012155	n/a	Buoyant fraction	BMDC	"Resting_45, Resting_90, Resting_150, LPS_45, LPS_90, LPS_150"	"polystyrene bead (1 um, carboxylated+OVA)"	"45, 90, 150"	mouse	default	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Fusion Tribrid	DDA	205				20	40																		10.1074/mcp.ra119.001316 	PMC6495253	Mol Cell Proteomics	2019
Li2024_batch1	need to figure out file labels	Profiling phagosome proteins identifies PD-L1 as a fungal-binding receptor	Li	Underhill	PXD043088	n/a	Proximity labeling	BMDM	"S. aureus +APEX2, E. coli +APEX2, S. cerevisiae +APEX2, noAPEX2"	"S. aureus, E. coli, S. cerevisiae"	30	"mouse, Saureus, Ecoli, Scerevisiae"	default + CRAPome	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Fusion Lumos 	DDA	180	1			18	2					S. aureus	S. aureus												10.1038/s41586-024-07499-6	PMC12755075	Nature	2024
Fabrik2023_batch1		Lung macrophages utilize unique cathepsin KĐdependent phagosomal machinery to degrade intracellular collagen	Fabrik	Hartlova	PXD033010	n/a	Magnetic	"Peritoneal RTM, Lung RTM, Brain RTM"	"Peritoneal RTM, Lung RTM, Brain RTM"	"Dynabead (1 um, carboxylated+magnetic)"	30	mouse	default	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Lumos Tribrid	DDA	170				9	3	Mouse	Primary macrophages											Carbamidomethylation (C)	"Acetylation (protein N-term), oxidation (M)"				10.26508/lsa.202201535		Life Science Alliance	2023
Allsup2026_batch1	repository still private as of 260628	"PhagoID: Quantitative in situ proximity labeling defines the proteomes of bead- and microbe-containing phagosome lumina across species, maturation, and immune activation"	Allsup	Bryson	PXD055598	n/a	Proximity labeling	iBMDM	"bead +HRP, bead noHRP"	"epoxy bead (2.8 um, HRP conjugated)"	60	mouse	default + CRAPome	TMT10	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Exploris 480	DDA	100						Mouse																				
Allsup2026_batch2	repository still private as of 260628	"PhagoID: Quantitative in situ proximity labeling defines the proteomes of bead- and microbe-containing phagosome lumina across species, maturation, and immune activation"	Allsup	Bryson	PXD055598	n/a	Proximity labeling	hMDM	"bead +HRP, bead noHRP"	"epoxy bead (2.8 um, HRP conjugated)"	60	human	default + CRAPome	TMT10	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Exploris 480	DDA	100						Human																				
Allsup2026_batch3	repository still private as of 260628	"PhagoID: Quantitative in situ proximity labeling defines the proteomes of bead- and microbe-containing phagosome lumina across species, maturation, and immune activation"	Allsup	Bryson	PXD055598	n/a	Proximity labeling	iBMDM	"bead +HRP, bead +LPS +HRP, bead +HRP +Ecoli_coinfection, E. coli +HRP, noHRP"	"epoxy bead (2.8 um, HRP conjugated), E. coli"	30	mouse	default + CRAPome	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Exploris 480	DDA	150	1					Mouse				Bead	bead															
Allsup2026_batch4	repository still private as of 260628	"PhagoID: Quantitative in situ proximity labeling defines the proteomes of bead- and microbe-containing phagosome lumina across species, maturation, and immune activation"	Allsup	Bryson	PXD055598	n/a	Proximity labeling	iBMDM	"bead_30, bead_60, bead_120"	"epoxy bead (HRP conjugated, 2.8 um)"	"30, 60, 120"	mouse	default + CRAPome	TMT10	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Exploris 480	DDA	100																										
Allsup2026_batch5	repository still private as of 260628	"PhagoID: Quantitative in situ proximity labeling defines the proteomes of bead- and microbe-containing phagosome lumina across species, maturation, and immune activation"	Allsup	Bryson	PXD055598	n/a	Proximity labeling	iBMDM	"WT, TFEBKO, LAMP1KO"	"epoxy bead (HRP conjugated, 2.8 um)"	60	mouse	default + CRAPome	TMT10	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Exploris 480	DDA	100						Mouse				Bead (LPS stimulation)	bead+LPS															
Wogram2024_batch1_iPSC-microglia-monoculture-resting-vs-LPSIFNy	"NOTE; MAY EVENTUALLY SPLIT THE +/- IFNY INTO 2 SEPARATE SEARCHES. split the mono vs coculture into 2 separate searches because they were acquired ~2 weeks apart (coculture acquisition from June 14-16 2021, monoculture acquisition from June 27-29 2021). Difficult to match between runs with samples acquired this far apart. "	Rapid phagosome isolation enables unbiased multiomic analysis of human microglial phagosomes	Wogram	Jaenisch	n/a	https://doi.org/10.5281/zenodo.10569628	Organellar IP	iPSC microglia	"Monoculture_resting_aCD68IP, Monoculture_resting_IsotypeIP, Monoculture_LPS+IFNy_aCD68IP, Monoculture_LPS+IFNy_IsotypeIP"	polystyrene bead (2 um)	30	human	default + CRAPome	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Thermo Q Exactive HF-X Hybrid Quadrupole-Orbitrap	DDA	127																										
Wogram2024_batch2_iPSC-microglia-coculture-resting-vs-LPSIFNy	"NOTE; MAY EVENTUALLY SPLIT THE +/- IFNY INTO 2 SEPARATE SEARCHES. split the mono vs coculture into 2 separate searches because they were acquired ~2 weeks apart (coculture acquisition from June 14-16 2021, monoculture acquisition from June 27-29 2021). Difficult to match between runs with samples acquired this far apart. "	Rapid phagosome isolation enables unbiased multiomic analysis of human microglial phagosomes	Wogram	Jaenisch	n/a	https://doi.org/10.5281/zenodo.10569628	Organellar IP	iPSC microglia	"Coculture_resting_aCD68IP, Coculture_resting_IsotypeIP, Coculture_LPS+IFNy_aCD68IP, Coculture_LPS+IFNy_IsotypeIP"	polystyrene bead (2 um)	30	human	default + CRAPome	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Thermo Q Exactive HF-X Hybrid Quadrupole-Orbitrap	DDA	127																										
Wogram2024_batch3_iPSC-microglia-membranous	Membranous and soluble were acquired interleaved with each other. Could run in same search but it makes more sense to keep them separate due to different preparations.	Rapid phagosome isolation enables unbiased multiomic analysis of human microglial phagosomes	Wogram	Jaenisch	n/a	https://doi.org/10.5281/zenodo.10569628	Organellar IP	iPSC microglia	"Membranous_aCD68IP, Membranous_IsotypeIP"	polystyrene bead (2 um)	30	human	default + CRAPome	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Thermo Q Exactive HF-X Hybrid Quadrupole-Orbitrap	DDA	127																										
Wogram2024_batch4_iPSC-microglia-soluble	Membranous and soluble were acquired interleaved with each other. Could run in same search but it makes more sense to keep them separate due to different preparations.	Rapid phagosome isolation enables unbiased multiomic analysis of human microglial phagosomes	Wogram	Jaenisch	n/a	https://doi.org/10.5281/zenodo.10569628	Organellar IP	iPSC microglia	"Soluble_aCD68IP, Soluble_IsotypeIP"	polystyrene bead (2 um)	30	human	default + CRAPome	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Thermo Q Exactive HF-X Hybrid Quadrupole-Orbitrap	DDA	127																										
Wogram2024_batch5_primary-microglia-CD68ip		Rapid phagosome isolation enables unbiased multiomic analysis of human microglial phagosomes	Wogram	Jaenisch	n/a	https://doi.org/10.5281/zenodo.10569084	Organellar IP	primary microglia	"aCD68IP, IsotypeIP"	polystyrene bead (2 um)	30	human	default + CRAPome	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Thermo Q Exactive HF-X Hybrid Quadrupole-Orbitrap	DDA	127																										
Chatterjee2026_batch1_phagocyt-salmonella	repository still private as of 260628	Flow cytometry-based isolation of Salmonella-containing phagosomes combined with ultra-sensitive proteomics reveals novel insights into host-pathogen interactions	Chatterjee	Trost	PXD062621	n/a	FACS	THP-1	"Styphimurium_30, Styphimurium_240"	S. typhimurium	"30, 240"	human	default	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)		DIA																											
Rao2009_batch1		A systems biology approach to study the phagosomal proteome modulated by mycobacterial infections	Rao	Li	none		Physical fractionation (dounce homogenizer + 28G needle) -> 500xg -> supernatant to 50/12% sucrose gradient -> 1000xg for 60min -> interphase to 70kDa ficoll -> 400 kDa ficoll -> SDS/PAGE gel							LTQ-FTMS															Mouse	BMA.A3	Macrophage-like cell line from C57Bl/6 mice	100 ug of purified phagosome protein		"M. tuberculosis (H37Rv, WT)"	5 bacteria: 1 macrophage	22	SDS/PAGE gel	LFQ		Trans-Proteomic Pipeline		oxidation (M)	none				19918316	Int J Clin Exp Med	2009
Rao2009_batch1					none																													"M. tuberculosis (H37Rv, fbpA KO)"	5 bacteria: 1 macrophage	22							none						
Rao2009_batch1					none																													M. bovis (BCG)	5 bacteria: 1 macrophage	22							none						
Li_batch1					none																																						none			10.1021/pr101245u			
Shui2008_batch1			Shui	Bertozzi	none																																						none			10.1073/pnas.0809218105			2008
Shui2010_batch2			Shui	Bertozzi																																										10.1021/pr100688h			2010